Unnamed: 0,Open,Actual,Predict,Absolute Error,Percent_Error,Actual Diff,Predict Diff,Actual Direction,Predict Direction,COUNTER
7043,5.380000114440918,5.53000020980835,5.325102154089481,0.20489805571886954,3.7052088235991327,0.15000009536743164,-0.0548979603514379,UP,DOWN,0
7044,5.550000190734863,5.059999942779541,5.493367535727365,0.4333675929478238,8.56457703257933,-0.4900002479553223,-0.05663265500749848,DOWN,DOWN,1
7045,5.110000133514403,4.960000038146973,5.0578572750091535,0.09785723686218173,1.9729281473703504,-0.15000009536743075,-0.052142858505249016,DOWN,DOWN,1
7046,4.75,4.840000152587892,4.701530612244898,0.1384695403429932,2.860940825982312,0.09000015258789151,-0.04846938775510168,UP,DOWN,0
7047,4.920000076293945,4.820000171661377,4.869795993882782,0.04979582222140522,1.033108308048906,-0.09999990463256836,-0.050204082411163135,DOWN,DOWN,1
7048,4.679999828338623,4.71999979019165,4.6322447280494545,0.08775506214219675,1.859217500910812,0.039999961853027344,-0.047755100289169405,UP,DOWN,0
7049,4.900000095367432,5.059999942779541,4.850000094394296,0.20999984838524632,4.150194679051517,0.15999984741210938,-0.05000000097313695,UP,DOWN,0
7050,5.25,5.300000190734863,5.196428571428571,0.1035716193062921,1.95418142601862,0.05000019073486328,-0.053571428571428825,UP,DOWN,0
7051,4.9099998474121085,4.650000095367432,4.859897808152801,0.2098977127853692,4.5139292146355015,-0.25999975204467685,-0.05010203925930768,DOWN,DOWN,1
7052,4.730000019073486,4.590000152587892,4.68173471275641,0.09173456016851844,1.9985742291707225,-0.1399998664855948,-0.048265306317076366,DOWN,DOWN,1
7053,4.519999980926514,4.4099998474121085,4.473877532141549,0.06387768472944089,1.4484736267491214,-0.1100001335144052,-0.0461224487849643,DOWN,DOWN,1
7054,4.449999809265137,4.670000076293945,4.404591647946106,0.2654084283478406,5.683263897470115,0.2200002670288086,-0.045408161319032025,UP,DOWN,0
7055,4.679999828338623,4.369999885559082,4.6322447280494545,0.2622448424903716,6.001026301098426,-0.309999942779541,-0.047755100289169405,DOWN,DOWN,1
7056,4.420000076293945,4.360000133514403,4.374898034699108,0.01489790118470591,0.34169497083701617,-0.0599999427795419,-0.045102041594836,DOWN,DOWN,1
7057,4.380000114440918,4.190000057220459,4.3353062357221335,0.1453061785016745,3.4679278405085983,-0.19000005722045896,-0.0446938787187845,DOWN,DOWN,1
7058,4.199999809265137,4.2100000381469735,4.157142668354268,0.052857369792705285,1.2555194611345035,0.010000228881836827,-0.04285714091086845,UP,DOWN,0
7059,4.280000209808351,4.230000019073486,4.236326738279693,0.0063267192062070885,0.14956782925955764,-0.05000019073486417,-0.04367347152865708,DOWN,DOWN,1
7060,4.179999828338623,4.2100000381469735,4.13734676886578,0.07265326928119364,1.7257308461491583,0.030000209808350494,-0.04265305947284315,UP,DOWN,0
7061,4.260000228881837,4.280000209808351,4.216530838791206,0.06346937101714456,1.4829291566783962,0.019999980926513672,-0.04346939009063089,UP,DOWN,0
7062,4.309999942779541,4.480000019073486,4.266020351526689,0.21397966754679754,4.7763318445487615,0.1700000762939453,-0.043979591252852224,UP,DOWN,0
7063,4.619999885559082,4.599999904632568,4.5728570295839885,0.027142875048578933,0.5900625132892694,-0.019999980926513672,-0.0471428559750926,DOWN,DOWN,1
7064,4.619999885559082,4.800000190734863,4.5728570295839885,0.22714316115087385,4.7321490026044986,0.18000030517578125,-0.0471428559750926,UP,DOWN,0
7065,4.710000038146973,5.03000020980835,4.661938813267922,0.36806139654042797,7.317323681671412,0.3200001716613769,-0.04806122487905107,UP,DOWN,0
7066,5.190000057220459,5.130000114440918,5.137040872963107,0.007040758522188994,0.1372467517567749,-0.059999942779541016,-0.05295918425735202,DOWN,DOWN,1
7067,5.099999904632568,5.110000133514403,5.047959089279175,0.06204104423522861,1.214110422978793,0.01000022888183505,-0.05204081535339356,UP,DOWN,0
7068,5.199999809265137,5.210000038146973,5.146938586721615,0.0630614514253578,1.2103925328911649,0.010000228881835938,-0.053061222543521865,UP,DOWN,0
7069,5.199999809265137,5.150000095367432,5.146938586721615,0.0030615086458167795,0.059446768720852874,-0.04999971389770508,-0.053061222543521865,DOWN,DOWN,1
7070,5.150000095367432,5.300000190734863,5.097449073986131,0.20255111674873216,3.8217190464034267,0.15000009536743164,-0.052551021381300515,UP,DOWN,0
7071,5.369999885559082,5.639999866485598,5.3152039683595005,0.324795898126097,5.7587926562928144,0.26999998092651456,-0.05479591719958243,UP,DOWN,0
7072,5.699999809265138,5.9099998474121085,5.6418365459052895,0.268163301506819,4.537450227249046,0.21000003814697088,-0.05816326335984812,UP,DOWN,0
7073,5.71999979019165,5.579999923706055,5.661632445393777,0.0816325216877214,1.4629484373452055,-0.1399998664855957,-0.05836734479787431,DOWN,DOWN,1
7074,5.699999809265138,5.699999809265138,5.6418365459052895,0.05816326335984812,1.020408163265302,0.0,-0.05816326335984812,,DOWN,0
7075,5.579999923706055,5.760000228881836,5.52306114897436,0.23693907990747576,4.1135255293813024,0.18000030517578125,-0.056938774731694515,UP,DOWN,0
7076,5.880000114440918,5.809999942779541,5.820000113273153,0.010000170493612792,0.17211997576765287,-0.07000017166137695,-0.06000000116776416,DOWN,DOWN,1
7077,5.929999828338622,5.929999828338622,5.869489626008637,0.060510202329986384,1.0204081632653137,0.0,-0.060510202329986384,,DOWN,0
7078,5.980000019073486,5.929999828338622,5.918979610715594,0.011020217623028294,0.1858384138624128,-0.05000019073486417,-0.061020408357892464,DOWN,DOWN,1
